,computation time,tuple_inds,data set,algorithm
0,1.7625137546680962,"(0, 0, 0)",blobs,SLLC
1,1.7186576109469895,"(0, 0, 1)",blobs,SLLC
2,1.7168186597516888,"(0, 0, 2)",blobs,SLLC
3,1.6986689336259349,"(0, 0, 3)",blobs,SLLC
4,1.6863277620665302,"(0, 0, 4)",blobs,SLLC
5,1.6885838423707544,"(0, 0, 5)",blobs,SLLC
6,1.7190543555910123,"(0, 0, 6)",blobs,SLLC
7,1.8066687691755,"(0, 0, 7)",blobs,SLLC
8,1.7530885981589124,"(0, 0, 8)",blobs,SLLC
9,1.746173335703438,"(0, 0, 9)",blobs,SLLC
10,1.9196940924620236,"(0, 1, 0)",blobs,LMNN
11,1.954346163265217,"(0, 1, 1)",blobs,LMNN
12,1.8778213647193829,"(0, 1, 2)",blobs,LMNN
13,1.8753901953668213,"(0, 1, 3)",blobs,LMNN
14,1.8996984308982445,"(0, 1, 4)",blobs,LMNN
15,1.9436233844357496,"(0, 1, 5)",blobs,LMNN
16,1.8763234861499631,"(0, 1, 6)",blobs,LMNN
17,1.8641631034977404,"(0, 1, 7)",blobs,LMNN
18,1.8910438087188182,"(0, 1, 8)",blobs,LMNN
19,2.048017874818704,"(0, 1, 9)",blobs,LMNN
20,0.7973822481117092,"(0, 2, 0)",blobs,ITML
21,0.7114301268957557,"(0, 2, 1)",blobs,ITML
22,0.7181050147762797,"(0, 2, 2)",blobs,ITML
23,0.711020497899097,"(0, 2, 3)",blobs,ITML
24,0.7303154710561297,"(0, 2, 4)",blobs,ITML
25,0.7173555849407789,"(0, 2, 5)",blobs,ITML
26,0.724111158654845,"(0, 2, 6)",blobs,ITML
27,0.7177016363390907,"(0, 2, 7)",blobs,ITML
28,0.7139961283452325,"(0, 2, 8)",blobs,ITML
29,0.7046510458643662,"(0, 2, 9)",blobs,ITML
30,0.21913156985464344,"(0, 3, 0)",blobs,RVML
31,0.10032754779245456,"(0, 3, 1)",blobs,RVML
32,0.10152033756148215,"(0, 3, 2)",blobs,RVML
33,0.09164136860736205,"(0, 3, 3)",blobs,RVML
34,0.10270986030431839,"(0, 3, 4)",blobs,RVML
35,0.1055514919160423,"(0, 3, 5)",blobs,RVML
36,0.10673003940158488,"(0, 3, 6)",blobs,RVML
37,0.09455610761457933,"(0, 3, 7)",blobs,RVML
38,0.10436973749461398,"(0, 3, 8)",blobs,RVML
39,0.09841224377569047,"(0, 3, 9)",blobs,RVML
40,0.27784976195458455,"(0, 4, 0)",blobs,closed-form
41,0.215298729629271,"(0, 4, 1)",blobs,closed-form
42,0.21931324502228078,"(0, 4, 2)",blobs,closed-form
43,0.1387129130658682,"(0, 4, 3)",blobs,closed-form
44,0.1915629424894738,"(0, 4, 4)",blobs,closed-form
45,0.1915629424894738,"(0, 4, 5)",blobs,closed-form
46,0.25453618567585723,"(0, 4, 6)",blobs,closed-form
47,0.2176754260532645,"(0, 4, 7)",blobs,closed-form
48,0.1318804306383914,"(0, 4, 8)",blobs,closed-form
49,0.25837140855873564,"(0, 4, 9)",blobs,closed-form
50,2.5260301394148836,"(1, 0, 0)",breast,SLLC
51,2.4724918831445883,"(1, 0, 1)",breast,SLLC
52,2.4410900603608394,"(1, 0, 2)",breast,SLLC
53,2.434024167480699,"(1, 0, 3)",breast,SLLC
54,2.449861521253293,"(1, 0, 4)",breast,SLLC
55,2.437191108158645,"(1, 0, 5)",breast,SLLC
56,2.419912260676308,"(1, 0, 6)",breast,SLLC
57,2.4294859158156754,"(1, 0, 7)",breast,SLLC
58,2.4146838607636196,"(1, 0, 8)",breast,SLLC
59,2.4399068862594184,"(1, 0, 9)",breast,SLLC
60,4.030792151954234,"(1, 1, 0)",breast,LMNN
61,4.042452789227604,"(1, 1, 1)",breast,LMNN
62,4.035129694521949,"(1, 1, 2)",breast,LMNN
63,4.032389792959314,"(1, 1, 3)",breast,LMNN
64,4.046235222507156,"(1, 1, 4)",breast,LMNN
65,4.059671117447345,"(1, 1, 5)",breast,LMNN
66,4.0763911225121205,"(1, 1, 6)",breast,LMNN
67,4.076748883982822,"(1, 1, 7)",breast,LMNN
68,4.139516139443999,"(1, 1, 8)",breast,LMNN
69,4.242052564991927,"(1, 1, 9)",breast,LMNN
